api_id;name;ort;kreis;lat;lon;website;impressum_url;telefon;email;adresse;geschaeftsfuehrung;einrichtungsleitung;status;error_msg
9060;Seniorenzentrum am Haarbach;Aachen;Städteregion Aachen;50.7941;6.1292;https://www.residenzen.de/seniorenresidenz/seniorenzentrum_am_haarbach_-217436.html;https://www.residenzen.de/impressum;+49 671 4831306-0;info@proagemedia.de;Wöllsteiner Str. 3 55543 Bad Kreuznach Telefon;Kurt Schüller;;found;
2868;Seniorenzentrum St. Severin;Aachen;Städteregion Aachen;50.7787;6.1531;https://www.marienhospital.de/de/senioren/seniorenzentrum-st-severin;https://www.marienhospital.de/de/senioren/de/impressum;02402/962-4210;info@marienhospital.de;;;René Sußmann;found;
190;Seniorenzentrum Rothe Erde;Aachen;Städteregion Aachen;50.7791;6.1366;https://www.skm-aachen.de/einrichtungen/seniorenzentrum-rothe-erde/;https://www.skm-aachen.de/impressum/;+49 241 41355-500;info@skm-aachen.de;Heinrichsallee 56 52062 Aachen Deutschland Telefon;Dem Vorstand gehören an:;;found;
18759;AWO Seniorenzentrum Kennedypark;Aachen;Städteregion Aachen;50.7754;6.118928;https://www.awo-gesa.de/de/unsere-angebote/vollstationaere-pflege/seniorenzentrum-kennedypark/;https://www.awo-gesa.de/de/meta-navigation/footer/impressum/;+49 221 57 99 8 - 0;awo-gesa@awo-mittelrhein.de;Rhonestraße 2 a, 50765 Köln;Sabine von Homeyer, Boris Hammerschmitt;;found;
160;Pflegeheim Marienheim;Aachen;Städteregion Aachen;50.746888;6.165242;https://www.residenzen.de/seniorenresidenz/marienheim-217428.html;https://www.residenzen.de/impressum;+49 671 4831306-0;info@proagemedia.de;Wöllsteiner Str. 3 55543 Bad Kreuznach Telefon;Kurt Schüller;;found;
487;Haus St. Raphael;Aachen;Städteregion Aachen;50.7923;6.0831;https://www.altenheime-aachen.de/unser-haus/unser-pflegeversprechen;https://www.altenheime-aachen.de/impressum;+49 8020 906-0;ordenswerke@deutscher-orden.de;Strüverweg 3a 52070 Aachen Die nachfolgenden Informationen enthalten die gesetzlich vorgesehenen Pflichtangaben sowie die rechtlichen Hinweise zur Internetpräsenz der Haus St;;;found;
26789;Haus St. Raphael - Solitäre Kurzzeitpflege;Aachen;Städteregion Aachen;50.7923;6.0831;https://www.altenheime-aachen.de/unser-team;https://www.altenheime-aachen.de/impressum;+49 8020 906-0;ordenswerke@deutscher-orden.de;Strüverweg 3a 52070 Aachen Die nachfolgenden Informationen enthalten die gesetzlich vorgesehenen Pflichtangaben sowie die rechtlichen Hinweise zur Internetpräsenz der Haus St;;;found;
22380;Haus Marien-Linde.;Aachen;Städteregion Aachen;50.7744;6.1108;http://www.marien-linde.de/impressum.html;http://www.marien-linde.de/impressum.html;;;Eifelstr. 27 52068 Aachen Heimleitung;;Stephanie Schuster;found;
22392;Alten- und Pflegeheim Haus Margarete;Aachen;Städteregion Aachen;50.768121;6.118418;https://vinzentinerinnen.de/leben/haus-margarete/;https://vinzentinerinnen.de/impressum-datenschutz/;+49 (0) 221;koeln@vinzentinerinnen.de;Merheimer Straße 250 50733 Köln Tel;Haftungshinweis: Trotz sorgfältiger;;found;
22399;Haus Margarete Kurzzeitpflege;Aachen;Städteregion Aachen;50.768121;6.118418;https://vinzentinerinnen.de/leben/haus-margarete/;https://vinzentinerinnen.de/impressum-datenschutz/;+49 (0) 221;koeln@vinzentinerinnen.de;Merheimer Straße 250 50733 Köln Tel;Haftungshinweis: Trotz sorgfältiger;;found;
